step	robot0_eef_pos	cube_pos	gripper_to_cube_pos	action
0	[-0.1, 0.02, 0.98]	[-0.02, 0.01, 0.82]	[-0.08, 0.01, 0.16]	[0.98, -0.13, -1.68, 0.0, 0.0, 0.0, -1.0]
1	[-0.08, 0.02, 0.96]	[-0.02, 0.01, 0.82]	[-0.06, 0.01, 0.14]	[0.82, -0.11, -1.63, 0.0, 0.0, 0.0, -1.0]
2	[-0.07, 0.02, 0.93]	[-0.02, 0.01, 0.82]	[-0.05, 0.01, 0.11]	[0.63, -0.1, -1.36, 0.0, 0.0, 0.0, -1.0]
3	[-0.05, 0.01, 0.91]	[-0.02, 0.01, 0.82]	[-0.04, 0.01, 0.09]	[0.49, -0.08, -1.11, 0.0, 0.0, 0.0, -1.0]
4	[-0.05, 0.01, 0.89]	[-0.02, 0.01, 0.82]	[-0.03, 0.0, 0.07]	[0.37, -0.06, -0.87, 0.0, 0.0, 0.0, -1.0]
5	[-0.04, 0.01, 0.87]	[-0.02, 0.01, 0.82]	[-0.02, 0.0, 0.05]	[0.28, -0.04, -0.65, 0.0, 0.0, 0.0, -1.0]
6	[-0.03, 0.01, 0.86]	[-0.02, 0.01, 0.82]	[-0.02, 0.0, 0.04]	[0.22, -0.03, -0.48, 0.0, 0.0, 0.0, -1.0]
7	[-0.03, 0.01, 0.85]	[-0.02, 0.01, 0.82]	[-0.01, 0.0, 0.03]	[0.17, -0.02, -0.36, 0.0, 0.0, 0.0, -1.0]
8	[-0.03, 0.01, 0.84]	[-0.02, 0.01, 0.82]	[-0.01, 0.0, 0.02]	[0.13, -0.01, -0.26, 0.0, 0.0, 0.0, -1.0]
9	[-0.03, 0.01, 0.84]	[-0.02, 0.01, 0.82]	[-0.01, -0.0, 0.01]	[0.1, -0.0, -0.2, 0.0, 0.0, 0.0, -1.0]
10	[-0.02, 0.01, 0.83]	[-0.02, 0.01, 0.82]	[-0.01, -0.0, 0.01]	[0.08, 0.0, -0.14, 0.0, 0.0, 0.0, -1.0]
11	[-0.02, 0.01, 0.83]	[-0.02, 0.01, 0.82]	[-0.0, -0.0, 0.01]	[0.06, 0.0, -0.11, 0.0, 0.0, 0.0, -1.0]
12	[-0.02, 0.01, 0.83]	[-0.02, 0.01, 0.82]	[-0.0, -0.0, 0.01]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]
13	[-0.02, 0.01, 0.83]	[-0.02, 0.01, 0.82]	[-0.0, -0.0, 0.01]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]
14	[-0.02, 0.01, 0.83]	[-0.02, 0.01, 0.82]	[-0.0, -0.0, 0.01]	[0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 1.0]
