,robot0_eef_pos,door_pos,handle_pos,door_to_eef_pos,handle_to_eef_pos,action
1,"[-0.1, -0.02, 1.02]","[-0.2, -0.33, 1.1]","[-0.12, -0.24, 1.08]","[-0.1, -0.31, 0.08]","[-0.03, -0.22, 0.06]","[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, -1.0]"
2,"[-0.1, -0.02, 1.04]","[-0.2, -0.33, 1.1]","[-0.12, -0.24, 1.08]","[-0.09, -0.31, 0.06]","[-0.02, -0.22, 0.04]","[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, -1.0]"
3,"[-0.11, -0.02, 1.06]","[-0.2, -0.33, 1.1]","[-0.12, -0.24, 1.08]","[-0.09, -0.31, 0.04]","[-0.02, -0.22, 0.02]","[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, -1.0]"
4,"[-0.11, -0.02, 1.08]","[-0.2, -0.33, 1.1]","[-0.12, -0.24, 1.08]","[-0.09, -0.31, 0.02]","[-0.02, -0.22, -0.01]","[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, -1.0]"
5,"[-0.11, -0.02, 1.1]","[-0.2, -0.33, 1.1]","[-0.12, -0.24, 1.08]","[-0.09, -0.31, -0.0]","[-0.02, -0.22, -0.03]","[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, -1.0]"
6,"[-0.11, -0.02, 1.13]","[-0.2, -0.33, 1.1]","[-0.12, -0.24, 1.08]","[-0.09, -0.31, -0.03]","[-0.01, -0.22, -0.05]","[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, -1.0]"
7,"[-0.11, -0.02, 1.15]","[-0.2, -0.33, 1.1]","[-0.12, -0.24, 1.08]","[-0.08, -0.31, -0.05]","[-0.01, -0.22, -0.07]","[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, -1.0]"
8,"[-0.11, -0.03, 1.17]","[-0.2, -0.33, 1.1]","[-0.12, -0.24, 1.08]","[-0.08, -0.29, -0.07]","[-0.01, -0.21, -0.1]","[-0.13, -1.98, 10.0, 0.0, 0.0, 0.0, -1.0]"
9,"[-0.12, -0.06, 1.18]","[-0.2, -0.33, 1.1]","[-0.12, -0.24, 1.08]","[-0.08, -0.27, -0.08]","[-0.01, -0.18, -0.1]","[-0.1, -1.83, 0.0, 0.0, 0.0, 0.0, -1.0]"
10,"[-0.12, -0.08, 1.18]","[-0.2, -0.33, 1.1]","[-0.12, -0.24, 1.08]","[-0.08, -0.25, -0.08]","[-0.01, -0.16, -0.1]","[-0.07, -1.6, 0.0, 0.0, 0.0, 0.0, -1.0]"
11,"[-0.12, -0.1, 1.18]","[-0.2, -0.33, 1.1]","[-0.12, -0.24, 1.08]","[-0.07, -0.22, -0.08]","[-0.0, -0.14, -0.1]","[-0.06, -1.37, 0.0, 0.0, 0.0, 0.0, -1.0]"
12,"[-0.12, -0.13, 1.18]","[-0.2, -0.33, 1.1]","[-0.12, -0.24, 1.08]","[-0.07, -0.2, -0.08]","[-0.0, -0.12, -0.1]","[-0.04, -1.13, 0.0, 0.0, 0.0, 0.0, -1.0]"
13,"[-0.12, -0.15, 1.18]","[-0.2, -0.33, 1.1]","[-0.12, -0.24, 1.08]","[-0.07, -0.18, -0.08]","[-0.0, -0.09, -0.1]","[-0.02, -0.9, 0.0, 0.0, 0.0, 0.0, -1.0]"
14,"[-0.13, -0.17, 1.18]","[-0.2, -0.33, 1.1]","[-0.12, -0.24, 1.08]","[-0.07, -0.16, -0.08]","[0.0, -0.08, -0.1]","[-0.0, -0.69, 0.0, 0.0, 0.0, 0.0, -1.0]"
15,"[-0.13, -0.18, 1.18]","[-0.2, -0.33, 1.1]","[-0.12, -0.24, 1.08]","[-0.07, -0.15, -0.08]","[0.0, -0.06, -0.1]","[0.01, -0.51, 0.0, 0.0, 0.0, 0.0, -1.0]"
16,"[-0.13, -0.19, 1.18]","[-0.2, -0.33, 1.1]","[-0.12, -0.24, 1.08]","[-0.07, -0.14, -0.08]","[0.0, -0.05, -0.1]","[0.01, -0.38, 0.0, 0.0, 0.0, 0.0, -1.0]"
17,"[-0.13, -0.2, 1.18]","[-0.2, -0.33, 1.1]","[-0.12, -0.24, 1.08]","[-0.07, -0.13, -0.08]","[0.0, -0.05, -0.1]","[0.01, -0.28, 0.0, 0.0, 0.0, 0.0, -1.0]"
18,"[-0.13, -0.2, 1.18]","[-0.2, -0.33, 1.1]","[-0.12, -0.24, 1.08]","[-0.07, -0.13, -0.08]","[0.0, -0.04, -0.1]","[0.01, -0.21, 0.0, 0.0, 0.0, 0.0, -1.0]"
