step	robot0_eef_pos	door_pos	handle_pos	door_to_eef_pos	handle_to_eef_pos	action
0	[-0.1, -0.01, 1.04]	[-0.2, -0.33, 1.1]	[-0.13, -0.24, 1.08]	[-0.1, -0.32, 0.06]	[-0.03, -0.23, 0.04]	[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, -1.0]
1	[-0.1, -0.01, 1.06]	[-0.2, -0.33, 1.1]	[-0.13, -0.24, 1.08]	[-0.1, -0.32, 0.04]	[-0.03, -0.23, 0.01]	[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, -1.0]
2	[-0.1, -0.01, 1.08]	[-0.2, -0.33, 1.1]	[-0.13, -0.24, 1.08]	[-0.09, -0.32, 0.02]	[-0.03, -0.23, -0.01]	[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, -1.0]
3	[-0.11, -0.01, 1.1]	[-0.2, -0.33, 1.1]	[-0.13, -0.24, 1.08]	[-0.09, -0.32, -0.0]	[-0.02, -0.23, -0.03]	[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, -1.0]
4	[-0.11, -0.01, 1.13]	[-0.2, -0.33, 1.1]	[-0.13, -0.24, 1.08]	[-0.09, -0.32, -0.03]	[-0.02, -0.23, -0.05]	[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, -1.0]
5	[-0.11, -0.01, 1.15]	[-0.2, -0.33, 1.1]	[-0.13, -0.24, 1.08]	[-0.09, -0.32, -0.05]	[-0.02, -0.23, -0.07]	[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, -1.0]
6	[-0.11, -0.01, 1.17]	[-0.2, -0.33, 1.1]	[-0.13, -0.24, 1.08]	[-0.09, -0.32, -0.07]	[-0.02, -0.23, -0.1]	[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, -1.0]
7	[-0.11, -0.03, 1.19]	[-0.2, -0.33, 1.1]	[-0.13, -0.24, 1.08]	[-0.08, -0.3, -0.09]	[-0.01, -0.21, -0.12]	[-0.19, -2.03, 10.0, 0.0, 0.0, 0.0, -1.0]
8	[-0.12, -0.05, 1.2]	[-0.2, -0.33, 1.1]	[-0.13, -0.24, 1.08]	[-0.08, -0.28, -0.1]	[-0.01, -0.19, -0.13]	[-0.15, -1.87, 0.0, 0.0, 0.0, 0.0, -1.0]
9	[-0.12, -0.07, 1.2]	[-0.2, -0.33, 1.1]	[-0.13, -0.24, 1.08]	[-0.08, -0.26, -0.1]	[-0.01, -0.17, -0.13]	[-0.12, -1.64, 0.0, 0.0, 0.0, 0.0, -1.0]
10	[-0.12, -0.1, 1.2]	[-0.2, -0.33, 1.1]	[-0.13, -0.24, 1.08]	[-0.07, -0.23, -0.1]	[-0.01, -0.14, -0.13]	[-0.09, -1.41, 0.0, 0.0, 0.0, 0.0, -1.0]
11	[-0.13, -0.12, 1.2]	[-0.2, -0.33, 1.1]	[-0.13, -0.24, 1.08]	[-0.07, -0.21, -0.1]	[-0.0, -0.12, -0.13]	[-0.07, -1.18, 0.0, 0.0, 0.0, 0.0, -1.0]
12	[-0.13, -0.14, 1.2]	[-0.2, -0.33, 1.1]	[-0.13, -0.24, 1.08]	[-0.07, -0.19, -0.1]	[-0.0, -0.1, -0.13]	[-0.04, -0.94, 0.0, 0.0, 0.0, 0.0, -1.0]
13	[-0.13, -0.16, 1.2]	[-0.2, -0.33, 1.1]	[-0.13, -0.24, 1.08]	[-0.07, -0.17, -0.1]	[-0.0, -0.08, -0.12]	[-0.02, -0.72, 0.0, 0.0, 0.0, 0.0, -1.0]
14	[-0.13, -0.17, 1.2]	[-0.2, -0.33, 1.1]	[-0.13, -0.24, 1.08]	[-0.07, -0.15, -0.1]	[0.0, -0.07, -0.12]	[-0.0, -0.54, 0.0, 0.0, 0.0, 0.0, -1.0]
15	[-0.13, -0.18, 1.2]	[-0.2, -0.33, 1.1]	[-0.13, -0.24, 1.08]	[-0.07, -0.14, -0.1]	[0.0, -0.05, -0.12]	[0.01, -0.4, 0.0, 0.0, 0.0, 0.0, -1.0]
16	[-0.13, -0.19, 1.2]	[-0.2, -0.33, 1.1]	[-0.13, -0.24, 1.08]	[-0.07, -0.14, -0.1]	[0.0, -0.05, -0.12]	[0.01, -0.3, 0.0, 0.0, 0.0, 0.0, -1.0]
17	[-0.13, -0.2, 1.2]	[-0.2, -0.33, 1.1]	[-0.13, -0.24, 1.08]	[-0.07, -0.13, -0.1]	[0.0, -0.04, -0.12]	[0.01, -0.22, 0.0, 0.0, 0.0, 0.0, -1.0]
18	[-0.13, -0.2, 1.2]	[-0.2, -0.33, 1.1]	[-0.13, -0.24, 1.08]	[-0.07, -0.13, -0.1]	[-0.0, -0.04, -0.12]	[0.0, -0.16, 0.0, 0.0, 0.0, 0.0, -1.0]
19	[-0.13, -0.2, 1.2]	[-0.2, -0.33, 1.1]	[-0.13, -0.24, 1.08]	[-0.07, -0.12, -0.1]	[-0.0, -0.03, -0.12]	[-0.0, -0.12, 0.0, 0.0, 0.0, 0.0, -1.0]
20	[-0.13, -0.21, 1.18]	[-0.2, -0.33, 1.1]	[-0.13, -0.24, 1.08]	[-0.07, -0.12, -0.08]	[-0.0, -0.03, -0.11]	[-0.0, -0.14, -1.75, 0.0, 0.0, 0.0, -1.0]
21	[-0.13, -0.21, 1.16]	[-0.2, -0.33, 1.1]	[-0.13, -0.24, 1.08]	[-0.07, -0.12, -0.06]	[-0.0, -0.03, -0.09]	[-0.01, -0.11, -1.59, 0.0, 0.0, 0.0, -1.0]
22	[-0.13, -0.21, 1.14]	[-0.2, -0.33, 1.1]	[-0.13, -0.24, 1.08]	[-0.07, -0.12, -0.04]	[-0.0, -0.03, -0.06]	[-0.02, -0.08, -1.37, 0.0, 0.0, 0.0, -1.0]
23	[-0.13, -0.21, 1.12]	[-0.2, -0.33, 1.1]	[-0.13, -0.24, 1.08]	[-0.07, -0.12, -0.02]	[-0.0, -0.03, -0.04]	[-0.02, -0.07, -1.14, 0.0, 0.0, 0.0, -1.0]
24	[-0.13, -0.21, 1.09]	[-0.2, -0.33, 1.1]	[-0.13, -0.24, 1.07]	[-0.07, -0.11, 0.01]	[0.0, -0.02, -0.03]	[-0.01, -0.06, -0.91, 0.0, 0.0, 0.0, -1.0]
25	[-0.13, -0.21, 1.08]	[-0.2, -0.33, 1.1]	[-0.13, -0.24, 1.05]	[-0.07, -0.11, 0.02]	[0.0, -0.02, -0.02]	[0.01, -0.05, -0.78, 0.0, 0.0, 0.0, -1.0]
26	[-0.13, -0.21, 1.06]	[-0.2, -0.33, 1.1]	[-0.13, -0.24, 1.04]	[-0.07, -0.11, 0.04]	[0.0, -0.02, -0.01]	[0.04, -0.04, -0.74, 0.0, 0.0, 0.0, -1.0]
27	[-0.13, -0.21, 1.04]	[-0.2, -0.33, 1.1]	[-0.13, -0.24, 1.05]	[-0.07, -0.11, 0.06]	[0.0, -0.02, 0.0]	[0.05, -0.04, -0.64, 0.0, 0.0, 0.0, -1.0]
28	[-0.13, -0.21, 1.03]	[-0.2, -0.33, 1.1]	[-0.13, -0.24, 1.04]	[-0.07, -0.11, 0.07]	[0.01, -0.02, 0.01]	[0.04, -0.04, -0.46, 0.0, 0.0, 0.0, -1.0]
29	[-0.13, -0.21, 1.02]	[-0.2, -0.33, 1.1]	[-0.12, -0.24, 1.03]	[-0.07, -0.11, 0.08]	[0.01, -0.02, 0.01]	[0.05, -0.04, -0.38, 0.0, 0.0, 0.0, -1.0]
