step	action	robot0_eef_pos	cubeA_pos	cubeB_pos	gripper_to_cubeA	gripper_to_cubeB	cubeA_to_cubeB
0	[1.02, 0.16, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.1, 0.01, 1.0]	[-0.01, 0.02, 0.82]	[-0.06, -0.04, 0.82]	[0.09, 0.01, -0.18]	[0.04, -0.05, -0.18]	[-0.05, -0.07, 0.0]
1	[0.87, 0.14, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.08, 0.01, 1.0]	[-0.01, 0.02, 0.82]	[-0.06, -0.04, 0.82]	[0.07, 0.01, -0.18]	[0.02, -0.05, -0.17]	[-0.05, -0.07, 0.0]
2	[0.69, 0.11, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.06, 0.01, 1.0]	[-0.01, 0.02, 0.82]	[-0.06, -0.04, 0.82]	[0.05, 0.01, -0.18]	[0.01, -0.06, -0.17]	[-0.05, -0.07, 0.0]
3	[0.54, 0.09, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.05, 0.02, 1.0]	[-0.01, 0.02, 0.82]	[-0.06, -0.04, 0.82]	[0.04, 0.01, -0.18]	[-0.01, -0.06, -0.17]	[-0.05, -0.07, 0.0]
4	[0.4, 0.07, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.04, 0.02, 1.0]	[-0.01, 0.02, 0.82]	[-0.06, -0.04, 0.82]	[0.03, 0.0, -0.18]	[-0.02, -0.06, -0.17]	[-0.05, -0.07, 0.0]
5	[0.29, 0.05, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.03, 0.02, 1.0]	[-0.01, 0.02, 0.82]	[-0.06, -0.04, 0.82]	[0.02, 0.0, -0.18]	[-0.03, -0.06, -0.17]	[-0.05, -0.07, 0.0]
6	[0.21, 0.04, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.02, 0.02, 1.0]	[-0.01, 0.02, 0.82]	[-0.06, -0.04, 0.82]	[0.01, 0.0, -0.18]	[-0.03, -0.06, -0.17]	[-0.05, -0.07, 0.0]
7	[0.14, 0.03, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.02, 0.02, 1.0]	[-0.01, 0.02, 0.82]	[-0.06, -0.04, 0.82]	[0.01, 0.0, -0.18]	[-0.04, -0.06, -0.18]	[-0.05, -0.07, 0.0]
8	[0.09, 0.02, -1.8, 0.0, 0.0, 0.0, -1.0]	[-0.01, 0.02, 0.98]	[-0.01, 0.02, 0.82]	[-0.06, -0.04, 0.82]	[0.0, 0.0, -0.16]	[-0.04, -0.06, -0.16]	[-0.05, -0.07, 0.0]
9	[0.05, 0.01, -1.64, 0.0, 0.0, 0.0, -1.0]	[-0.01, 0.02, 0.96]	[-0.01, 0.02, 0.82]	[-0.06, -0.04, 0.82]	[0.0, 0.0, -0.14]	[-0.05, -0.06, -0.14]	[-0.05, -0.07, 0.0]
10	[0.02, 0.01, -1.42, 0.0, 0.0, 0.0, -1.0]	[-0.01, 0.02, 0.94]	[-0.01, 0.02, 0.82]	[-0.06, -0.04, 0.82]	[0.0, 0.0, -0.12]	[-0.05, -0.06, -0.11]	[-0.05, -0.07, 0.0]
11	[0.01, 0.01, -1.19, 0.0, 0.0, 0.0, -1.0]	[-0.01, 0.02, 0.92]	[-0.01, 0.02, 0.82]	[-0.06, -0.04, 0.82]	[0.0, 0.0, -0.1]	[-0.05, -0.07, -0.09]	[-0.05, -0.07, 0.0]
12	[0.01, 0.01, -0.96, 0.0, 0.0, 0.0, -1.0]	[-0.01, 0.02, 0.89]	[-0.01, 0.02, 0.82]	[-0.06, -0.04, 0.82]	[0.0, 0.0, -0.07]	[-0.05, -0.07, -0.07]	[-0.05, -0.07, 0.0]
13	[0.01, 0.01, -0.73, 0.0, 0.0, 0.0, -1.0]	[-0.01, 0.02, 0.87]	[-0.01, 0.02, 0.82]	[-0.06, -0.04, 0.82]	[0.0, 0.0, -0.05]	[-0.05, -0.07, -0.05]	[-0.05, -0.07, 0.0]
14	[0.02, 0.01, -0.54, 0.0, 0.0, 0.0, -1.0]	[-0.01, 0.02, 0.86]	[-0.01, 0.02, 0.82]	[-0.06, -0.04, 0.82]	[0.0, 0.0, -0.04]	[-0.04, -0.07, -0.03]	[-0.05, -0.07, 0.0]
15	[0.04, 0.01, -0.39, 0.0, 0.0, 0.0, -1.0]	[-0.01, 0.02, 0.85]	[-0.01, 0.02, 0.82]	[-0.06, -0.04, 0.82]	[0.0, 0.0, -0.03]	[-0.04, -0.07, -0.02]	[-0.05, -0.07, 0.0]
16	[0.04, 0.01, -0.28, 0.0, 0.0, 0.0, -1.0]	[-0.01, 0.02, 0.84]	[-0.01, 0.02, 0.82]	[-0.06, -0.04, 0.82]	[0.0, 0.0, -0.02]	[-0.04, -0.07, -0.02]	[-0.05, -0.07, 0.0]
17	[0.05, 0.01, -0.2, 0.0, 0.0, 0.0, -1.0]	[-0.01, 0.02, 0.83]	[-0.01, 0.02, 0.82]	[-0.06, -0.04, 0.82]	[0.0, 0.0, -0.01]	[-0.04, -0.07, -0.01]	[-0.05, -0.07, 0.0]
18	[0.04, 0.0, -0.15, 0.0, 0.0, 0.0, -1.0]	[-0.01, 0.02, 0.83]	[-0.01, 0.02, 0.82]	[-0.06, -0.04, 0.82]	[0.0, 0.0, -0.01]	[-0.04, -0.07, -0.01]	[-0.05, -0.07, 0.01]
19	[0.04, 0.0, -0.11, 0.0, 0.0, 0.0, -1.0]	[-0.01, 0.02, 0.83]	[-0.01, 0.02, 0.82]	[-0.06, -0.04, 0.82]	[0.0, 0.0, -0.01]	[-0.05, -0.07, -0.0]	[-0.05, -0.07, 0.01]
20	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]	[-0.01, 0.02, 0.83]	[-0.01, 0.02, 0.82]	[-0.06, -0.04, 0.82]	[0.0, 0.0, -0.01]	[-0.05, -0.07, -0.0]	[-0.05, -0.07, 0.01]
21	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]	[-0.01, 0.02, 0.83]	[-0.01, 0.02, 0.82]	[-0.06, -0.04, 0.82]	[0.0, 0.0, -0.01]	[-0.05, -0.07, -0.0]	[-0.05, -0.07, 0.01]
22	[0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 1.0]	[-0.01, 0.02, 0.83]	[-0.01, 0.02, 0.82]	[-0.06, -0.04, 0.82]	[0.0, 0.0, -0.01]	[-0.04, -0.07, -0.01]	[-0.05, -0.07, 0.0]
23	[0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 1.0]	[-0.01, 0.02, 0.84]	[-0.01, 0.02, 0.83]	[-0.06, -0.04, 0.82]	[0.0, 0.0, -0.01]	[-0.04, -0.07, -0.01]	[-0.05, -0.07, -0.0]
