step	action	robot0_eef_pos	cube_pos	gripper_to_cube_pos
0	[0.74, 0.53, -1.95, 0.0, 0.0, 0.0, -1.0]	[-0.08, -0.03, 1.01]	[-0.02, 0.01, 0.82]	[-0.06, -0.05, 0.19]
1	[0.62, 0.46, -1.9, 0.0, 0.0, 0.0, -1.0]	[-0.06, -0.02, 0.98]	[-0.02, 0.01, 0.82]	[-0.05, -0.04, 0.16]
2	[0.46, 0.37, -1.64, 0.0, 0.0, 0.0, -1.0]	[-0.05, -0.02, 0.96]	[-0.02, 0.01, 0.82]	[-0.04, -0.03, 0.14]
3	[0.35, 0.3, -1.4, 0.0, 0.0, 0.0, -1.0]	[-0.04, -0.01, 0.94]	[-0.02, 0.01, 0.82]	[-0.03, -0.02, 0.12]
4	[0.27, 0.23, -1.16, 0.0, 0.0, 0.0, -1.0]	[-0.04, -0.0, 0.91]	[-0.02, 0.01, 0.82]	[-0.02, -0.02, 0.09]
5	[0.21, 0.18, -0.92, 0.0, 0.0, 0.0, -1.0]	[-0.03, 0.0, 0.89]	[-0.02, 0.01, 0.82]	[-0.02, -0.01, 0.07]
6	[0.16, 0.13, -0.7, 0.0, 0.0, 0.0, -1.0]	[-0.03, 0.0, 0.87]	[-0.02, 0.01, 0.82]	[-0.01, -0.01, 0.05]
7	[0.14, 0.09, -0.51, 0.0, 0.0, 0.0, -1.0]	[-0.03, 0.01, 0.86]	[-0.02, 0.01, 0.82]	[-0.01, -0.0, 0.04]
8	[0.12, 0.05, -0.37, 0.0, 0.0, 0.0, -1.0]	[-0.03, 0.01, 0.85]	[-0.02, 0.01, 0.82]	[-0.01, -0.0, 0.03]
9	[0.11, 0.02, -0.27, 0.0, 0.0, 0.0, -1.0]	[-0.02, 0.01, 0.84]	[-0.02, 0.01, 0.82]	[-0.01, 0.0, 0.02]
10	[0.09, -0.0, -0.19, 0.0, 0.0, 0.0, -1.0]	[-0.02, 0.02, 0.83]	[-0.02, 0.01, 0.82]	[-0.01, 0.0, 0.01]
11	[0.08, -0.02, -0.14, 0.0, 0.0, 0.0, -1.0]	[-0.02, 0.02, 0.83]	[-0.02, 0.01, 0.82]	[-0.01, 0.0, 0.01]
12	[0.07, -0.03, -0.1, 0.0, 0.0, 0.0, -1.0]	[-0.02, 0.02, 0.83]	[-0.02, 0.01, 0.82]	[-0.01, 0.0, 0.01]
13	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]	[-0.02, 0.02, 0.83]	[-0.02, 0.01, 0.82]	[-0.01, 0.0, 0.01]
14	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]	[-0.02, 0.02, 0.83]	[-0.02, 0.01, 0.82]	[-0.01, 0.0, 0.01]
15	[0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 1.0]	[-0.02, 0.02, 0.83]	[-0.02, 0.01, 0.82]	[-0.01, 0.0, 0.01]
16	[0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 1.0]	[-0.02, 0.02, 0.84]	[-0.02, 0.01, 0.83]	[-0.01, 0.0, 0.01]
17	[0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 1.0]	[-0.02, 0.02, 0.84]	[-0.02, 0.01, 0.83]	[-0.01, 0.0, 0.01]
18	[0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 1.0]	[-0.02, 0.02, 0.85]	[-0.02, 0.01, 0.84]	[-0.01, 0.0, 0.01]
19	[0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 1.0]	[-0.02, 0.02, 0.85]	[-0.02, 0.01, 0.85]	[-0.01, 0.0, 0.01]
20	[0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 1.0]	[-0.02, 0.02, 0.86]	[-0.02, 0.01, 0.85]	[-0.01, 0.0, 0.01]
21	[0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 1.0]	[-0.02, 0.02, 0.86]	[-0.02, 0.01, 0.86]	[-0.01, 0.0, 0.01]
22	[0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 1.0]	[-0.02, 0.02, 0.87]	[-0.02, 0.01, 0.86]	[-0.01, 0.0, 0.01]
23	[0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 1.0]	[-0.02, 0.02, 0.88]	[-0.02, 0.01, 0.87]	[-0.01, 0.0, 0.01]
24	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]	[-0.02, 0.02, 0.88]	[-0.02, 0.01, 0.87]	[-0.01, 0.0, 0.01]
25	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]	[-0.02, 0.02, 0.88]	[-0.02, 0.01, 0.87]	[-0.01, 0.0, 0.01]
26	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]	[-0.02, 0.02, 0.88]	[-0.02, 0.01, 0.87]	[-0.01, 0.0, 0.01]
27	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]	[-0.02, 0.02, 0.88]	[-0.02, 0.01, 0.87]	[-0.01, 0.0, 0.01]
28	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]	[-0.02, 0.02, 0.88]	[-0.02, 0.01, 0.87]	[-0.01, 0.0, 0.01]
29	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]	[-0.02, 0.02, 0.88]	[-0.02, 0.01, 0.87]	[-0.01, 0.0, 0.01]
