step	action	robot0_eef_pos	Can_pos	Can_to_robot0_eef_pos
0	[0.38, -2.75, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.05, -0.11, 1.0]	[-0.02, -0.38, 0.86]	[0.0, 0.26, 0.15]
1	[0.32, -2.62, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.05, -0.13, 1.0]	[-0.02, -0.38, 0.86]	[-0.0, 0.24, 0.15]
2	[0.26, -2.43, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.04, -0.15, 1.0]	[-0.02, -0.38, 0.86]	[-0.01, 0.22, 0.15]
3	[0.21, -2.22, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.04, -0.18, 1.0]	[-0.02, -0.38, 0.86]	[-0.01, 0.2, 0.15]
4	[0.16, -1.99, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.03, -0.2, 1.0]	[-0.02, -0.38, 0.86]	[-0.01, 0.17, 0.14]
5	[0.13, -1.76, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.03, -0.22, 1.0]	[-0.02, -0.38, 0.86]	[-0.01, 0.15, 0.14]
6	[0.11, -1.52, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.03, -0.25, 1.0]	[-0.02, -0.38, 0.86]	[-0.01, 0.13, 0.14]
7	[0.1, -1.28, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.03, -0.27, 1.0]	[-0.02, -0.38, 0.86]	[-0.01, 0.1, 0.14]
8	[0.08, -1.05, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.03, -0.29, 1.0]	[-0.02, -0.38, 0.86]	[-0.01, 0.08, 0.14]
9	[0.08, -0.82, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.03, -0.31, 1.0]	[-0.02, -0.38, 0.86]	[-0.01, 0.06, 0.14]
10	[0.07, -0.61, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.03, -0.33, 1.0]	[-0.02, -0.38, 0.86]	[-0.01, 0.04, 0.14]
11	[0.07, -0.44, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.03, -0.34, 1.0]	[-0.02, -0.38, 0.86]	[-0.01, 0.03, 0.14]
12	[0.06, -0.31, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.02, -0.35, 1.0]	[-0.02, -0.38, 0.86]	[-0.01, 0.02, 0.14]
13	[0.06, -0.22, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.02, -0.36, 1.0]	[-0.02, -0.38, 0.86]	[-0.01, 0.01, 0.14]
14	[0.05, -0.15, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.02, -0.36, 1.0]	[-0.02, -0.38, 0.86]	[-0.01, 0.01, 0.14]
