step	subtask	stage
0	Move to can	0
1	Move to can	0
2	Move to can	0
3	Move to can	0
4	Move to can	0
5	Move to can	0
6	Move to can	0
7	Move to can	0
8	Move to can	0
9	Move to can	0
10	Move to can	1
11	Move to can	1
12	Move to can	1
13	Move to can	1
14	Move to can	1
15	Move to can	1
16	Move to can	1
17	Move to can	1
18	Move to can	1
19	Move to can	2
20	Move to can	2
21	Move to can	3
22	Move to can	3
23	Move to can	3
24	Move to can	3
25	Move to can	3
26	Move to can	3
27	Move to can	3
28	Move to can	4
29	Move to can	4
30	Move to can	4
31	Move to can	4
32	Move to can	4
33	Move to can	4
34	Move to can	4
35	Move to can	4
36	Move to can	4
37	Move to can	4
38	Move to can	4
39	Move to can	4
40	Move to can	4
41	Move to can	4
42	Move to can	4
43	Move to can	4
44	Move to can	4
45	Move to can	4
46	Move to can	4
47	Move to can	4
48	Move to can	4
49	Move to can	4
50	Move to can	4
51	Move to can	4
52	Move to can	4
53	Move to can	4
54	Move to can	4
55	Move to can	4
56	Move to can	4
57	Move to can	4
58	Move to can	4
59	Move to can	4
60	Move to can	4
61	Move to can	4
62	Move to can	4
63	Move to can	4
64	Move to can	4
65	Move to can	4
66	Move to can	4
67	Move to can	4
68	Move to can	4
69	Move to can	4
70	Move to can	4
71	Move to can	4
72	Move to can	4
73	Move to can	4
74	Move to can	4
75	Move to can	4
76	Move to can	4
77	Move to can	4
78	Move to can	4
79	Move to can	4
80	Move to can	4
81	Move to can	4
82	Move to can	4
83	Move to can	4
84	Move to can	4
85	Move to can	4
86	Move to can	4
87	Move to can	4
88	Move to can	4
89	Move to can	4
90	Move to can	4
91	Move to can	4
92	Move to can	4
93	Move to can	4
94	Move to can	4
95	Move to can	4
96	Move to can	4
97	Move to can	4
98	Move to can	4
99	Move to can	4
100	Move to can	4
101	Move to can	4
102	Move to can	4
103	Move to can	4
104	Move to can	4
105	Move to can	4
106	Move to can	4
107	Move to can	4
108	Move to can	4
109	Move to can	4
110	Move to can	4
111	Move to can	4
112	Move to can	4
113	Move to can	4
114	Move to can	4
115	Move to can	4
116	Move to can	4
117	Move to can	4
118	Move to can	4
119	Move to can	4
