step	action	robot0_eef_pos	door_pos	handle_pos	door_to_eef_pos	handle_to_eef_pos
0	[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, -1.0]	[-0.17, -0.01, 1.01]	[0.07, 0.15, 1.1]	[0.0, 0.06, 1.11]	[0.24, 0.16, 0.09]	[0.17, 0.07, 0.09]
1	[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, -1.0]	[-0.17, -0.01, 1.04]	[0.07, 0.15, 1.1]	[0.0, 0.06, 1.11]	[0.25, 0.16, 0.06]	[0.18, 0.07, 0.07]
2	[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, -1.0]	[-0.18, -0.01, 1.06]	[0.07, 0.15, 1.1]	[0.0, 0.06, 1.1]	[0.25, 0.16, 0.04]	[0.18, 0.07, 0.04]
3	[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, -1.0]	[-0.18, -0.01, 1.08]	[0.07, 0.15, 1.1]	[0.0, 0.06, 1.09]	[0.25, 0.16, 0.02]	[0.18, 0.07, 0.01]
4	[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, -1.0]	[-0.18, -0.01, 1.1]	[0.07, 0.15, 1.1]	[0.01, 0.06, 1.08]	[0.25, 0.16, -0.0]	[0.19, 0.07, -0.02]
5	[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, -1.0]	[-0.18, -0.01, 1.12]	[0.07, 0.15, 1.1]	[0.01, 0.06, 1.08]	[0.26, 0.16, -0.02]	[0.19, 0.07, -0.04]
6	[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, -1.0]	[-0.19, -0.01, 1.14]	[0.07, 0.15, 1.1]	[0.01, 0.06, 1.08]	[0.26, 0.16, -0.04]	[0.19, 0.07, -0.06]
7	[1.92, 0.95, 10.0, 0.0, 0.0, 0.0, -1.0]	[-0.17, 0.01, 1.16]	[0.07, 0.15, 1.1]	[0.01, 0.06, 1.08]	[0.25, 0.14, -0.06]	[0.18, 0.05, -0.08]
8	[1.8, 0.79, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.16, 0.03, 1.17]	[0.07, 0.15, 1.1]	[0.01, 0.06, 1.08]	[0.23, 0.12, -0.07]	[0.16, 0.03, -0.09]
9	[1.61, 0.59, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.13, 0.04, 1.16]	[0.07, 0.15, 1.1]	[0.01, 0.06, 1.08]	[0.21, 0.11, -0.06]	[0.14, 0.02, -0.08]
10	[1.4, 0.44, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.11, 0.05, 1.16]	[0.07, 0.15, 1.1]	[0.01, 0.06, 1.08]	[0.18, 0.1, -0.06]	[0.12, 0.01, -0.08]
11	[1.18, 0.32, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.1, 0.06, 1.16]	[0.07, 0.16, 1.1]	[0.0, 0.07, 1.08]	[0.17, 0.1, -0.06]	[0.1, 0.01, -0.08]
12	[1.0, 0.32, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.09, 0.06, 1.17]	[0.07, 0.16, 1.1]	[0.0, 0.07, 1.08]	[0.16, 0.1, -0.07]	[0.09, 0.01, -0.09]
13	[0.92, 0.32, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.08, 0.06, 1.17]	[0.07, 0.16, 1.1]	[0.0, 0.07, 1.08]	[0.15, 0.1, -0.07]	[0.09, 0.01, -0.09]
14	[0.86, 0.31, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.08, 0.06, 1.17]	[0.07, 0.16, 1.1]	[0.0, 0.07, 1.08]	[0.15, 0.1, -0.07]	[0.08, 0.01, -0.09]
15	[0.82, 0.31, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.07, 0.06, 1.17]	[0.07, 0.16, 1.1]	[0.0, 0.07, 1.08]	[0.15, 0.1, -0.07]	[0.08, 0.01, -0.09]
16	[0.8, 0.31, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.07, 0.06, 1.17]	[0.07, 0.16, 1.1]	[0.0, 0.07, 1.08]	[0.14, 0.1, -0.07]	[0.08, 0.01, -0.09]
17	[0.77, 0.32, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.07, 0.06, 1.16]	[0.07, 0.16, 1.1]	[0.0, 0.07, 1.08]	[0.14, 0.1, -0.06]	[0.07, 0.01, -0.08]
18	[0.75, 0.33, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.07, 0.06, 1.16]	[0.07, 0.16, 1.1]	[0.0, 0.07, 1.08]	[0.14, 0.1, -0.06]	[0.07, 0.01, -0.08]
19	[0.71, 0.35, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.06, 0.06, 1.15]	[0.07, 0.16, 1.1]	[0.0, 0.07, 1.08]	[0.13, 0.1, -0.05]	[0.07, 0.01, -0.07]
20	[0.66, 0.36, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.06, 0.05, 1.15]	[0.07, 0.16, 1.1]	[0.0, 0.07, 1.08]	[0.13, 0.1, -0.05]	[0.06, 0.01, -0.07]
