step	action	robot0_eef_pos	nut0_pos	nut1_pos
0	[0.0, 0.0, 0.0, 0.0, 0.15, -0.03, -1.0]	[-0.1, 0.0, 1.02]	[-0.11, 0.21, 0.89]	[10.0, 10.0, 10.0]
1	[0.17, -0.09, -0.38, -0.01, 0.13, -0.01, -1.0]	[-0.1, 0.0, 1.02]	[-0.11, 0.21, 0.88]	[10.0, 10.0, 9.99]
2	[0.39, 0.14, -0.18, -0.02, 0.11, 0.03, -1.0]	[-0.1, -0.0, 1.02]	[-0.11, 0.21, 0.84]	[10.0, 10.0, 9.95]
3	[0.4, 0.43, -0.09, -0.02, 0.11, 0.07, -1.0]	[-0.1, -0.0, 1.01]	[-0.11, 0.21, 0.82]	[10.0, 10.0, 9.89]
4	[0.62, 0.56, -0.05, -0.02, 0.13, 0.12, -1.0]	[-0.09, 0.0, 1.01]	[-0.11, 0.21, 0.83]	[10.0, 10.0, 9.81]
5	[0.54, 0.84, -0.14, 0.0, 0.14, 0.16, -1.0]	[-0.09, 0.01, 1.01]	[-0.11, 0.21, 0.83]	[10.0, 10.0, 9.7]
6	[0.41, 0.96, -0.43, 0.02, 0.12, 0.18, -1.0]	[-0.08, 0.02, 1.0]	[-0.11, 0.21, 0.83]	[10.0, 10.0, 9.58]
7	[0.38, 1.0, -0.4, 0.04, 0.09, 0.19, -1.0]	[-0.08, 0.03, 1.0]	[-0.11, 0.21, 0.83]	[10.0, 10.0, 9.44]
8	[0.32, 1.0, -0.32, 0.05, 0.07, 0.2, -1.0]	[-0.07, 0.04, 0.99]	[-0.11, 0.21, 0.83]	[10.0, 10.0, 9.28]
9	[0.38, 1.0, -0.39, 0.05, 0.05, 0.23, -1.0]	[-0.07, 0.06, 0.99]	[-0.11, 0.21, 0.83]	[10.0, 10.0, 9.11]
10	[0.44, 1.0, -0.38, 0.04, 0.02, 0.25, -1.0]	[-0.06, 0.07, 0.98]	[-0.11, 0.21, 0.83]	[10.0, 10.0, 8.93]
11	[0.25, 1.0, -0.21, 0.03, 0.0, 0.25, -1.0]	[-0.06, 0.08, 0.98]	[-0.11, 0.21, 0.83]	[10.0, 10.0, 8.74]
12	[0.25, 0.99, -0.03, 0.04, 0.02, 0.25, -1.0]	[-0.05, 0.1, 0.98]	[-0.11, 0.21, 0.83]	[10.0, 10.0, 8.54]
13	[0.26, 0.85, -0.11, 0.04, 0.02, 0.26, -1.0]	[-0.05, 0.11, 0.97]	[-0.11, 0.21, 0.83]	[10.0, 10.0, 8.33]
14	[0.14, 0.8, -0.22, 0.03, 0.01, 0.26, -1.0]	[-0.05, 0.12, 0.97]	[-0.11, 0.21, 0.83]	[10.0, 10.0, 8.12]
15	[0.08, 0.75, -0.26, 0.04, 0.0, 0.24, -1.0]	[-0.04, 0.13, 0.97]	[-0.11, 0.21, 0.83]	[10.0, 10.0, 7.9]
16	[0.06, 0.68, -0.26, 0.04, -0.01, 0.23, -1.0]	[-0.04, 0.14, 0.97]	[-0.11, 0.21, 0.83]	[10.01, 10.0, 7.67]
17	[0.08, 0.78, -0.18, 0.04, -0.01, 0.22, -1.0]	[-0.04, 0.15, 0.97]	[-0.11, 0.21, 0.83]	[10.01, 10.0, 7.45]
18	[0.19, 0.96, -0.26, 0.03, -0.02, 0.2, -1.0]	[-0.04, 0.16, 0.96]	[-0.11, 0.21, 0.83]	[10.01, 10.0, 7.22]
19	[-0.04, 0.55, -0.22, 0.03, -0.01, 0.18, -1.0]	[-0.04, 0.17, 0.96]	[-0.11, 0.21, 0.83]	[10.01, 10.0, 6.98]
20	[-0.06, 0.49, -0.28, 0.02, -0.01, 0.17, -1.0]	[-0.03, 0.18, 0.96]	[-0.11, 0.21, 0.83]	[10.02, 10.0, 6.75]
21	[0.1, 0.98, -0.45, 0.02, -0.02, 0.15, -1.0]	[-0.03, 0.19, 0.95]	[-0.11, 0.21, 0.83]	[10.02, 10.0, 6.51]
