step	action	robot0_eef_pos	Can_pos	Can_to_robot0_eef_pos
0	[0.75, -0.12, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.01, -0.12, 1.03]	[0.05, -0.13, 0.86]	[0.03, 0.01, 0.18]
1	[0.64, -0.11, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.0, -0.12, 1.03]	[0.05, -0.13, 0.86]	[0.02, 0.01, 0.17]
2	[0.51, -0.09, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.02, -0.12, 1.03]	[0.05, -0.13, 0.86]	[0.01, 0.01, 0.17]
3	[0.39, -0.07, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.03, -0.12, 1.03]	[0.05, -0.13, 0.86]	[-0.0, 0.0, 0.17]
4	[0.29, -0.06, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.03, -0.12, 1.03]	[0.05, -0.13, 0.86]	[-0.01, 0.0, 0.17]
5	[0.21, -0.04, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.04, -0.12, 1.03]	[0.05, -0.13, 0.86]	[-0.01, 0.0, 0.17]
6	[0.15, -0.03, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.04, -0.12, 1.03]	[0.05, -0.13, 0.86]	[-0.02, 0.0, 0.17]
7	[0.1, -0.02, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.05, -0.12, 1.03]	[0.05, -0.13, 0.86]	[-0.02, 0.0, 0.17]
8	[0.07, -0.02, -1.54, 0.0, 0.0, 0.0, -1.0]	[0.05, -0.12, 1.01]	[0.05, -0.13, 0.86]	[-0.02, 0.0, 0.15]
9	[0.03, -0.01, -1.38, 0.0, 0.0, 0.0, -1.0]	[0.05, -0.12, 0.99]	[0.05, -0.13, 0.86]	[-0.02, 0.0, 0.13]
10	[0.0, -0.01, -1.16, 0.0, 0.0, 0.0, -1.0]	[0.06, -0.13, 0.97]	[0.05, -0.13, 0.86]	[-0.02, 0.0, 0.11]
11	[-0.01, -0.01, -0.93, 0.0, 0.0, 0.0, -1.0]	[0.06, -0.13, 0.95]	[0.05, -0.13, 0.86]	[-0.02, 0.0, 0.08]
12	[-0.0, -0.01, -0.71, 0.0, 0.0, 0.0, -1.0]	[0.05, -0.13, 0.93]	[0.05, -0.13, 0.86]	[-0.01, 0.0, 0.07]
13	[0.01, -0.01, -0.53, 0.0, 0.0, 0.0, -1.0]	[0.05, -0.12, 0.91]	[0.05, -0.13, 0.86]	[-0.01, 0.0, 0.05]
14	[0.02, -0.01, -0.38, 0.0, 0.0, 0.0, -1.0]	[0.05, -0.13, 0.9]	[0.05, -0.13, 0.86]	[-0.0, 0.0, 0.04]
15	[0.04, -0.01, -0.27, 0.0, 0.0, 0.0, -1.0]	[0.05, -0.13, 0.89]	[0.06, -0.13, 0.86]	[-0.0, 0.0, 0.03]
16	[0.04, -0.01, -0.19, 0.0, 0.0, 0.0, -1.0]	[0.05, -0.13, 0.89]	[0.05, -0.13, 0.86]	[-0.0, 0.0, 0.03]
17	[0.04, -0.01, -0.14, 0.0, 0.0, 0.0, -1.0]	[0.05, -0.13, 0.88]	[0.06, -0.13, 0.86]	[-0.0, 0.0, 0.03]
18	[0.04, -0.01, -0.1, 0.0, 0.0, 0.0, -1.0]	[0.05, -0.13, 0.88]	[0.05, -0.13, 0.86]	[-0.0, 0.0, 0.02]
19	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]	[0.05, -0.13, 0.88]	[0.05, -0.13, 0.86]	[-0.0, 0.0, 0.02]
20	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]	[0.05, -0.13, 0.88]	[0.05, -0.13, 0.86]	[-0.0, 0.0, 0.02]
21	[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0]	[0.05, -0.13, 0.89]	[0.05, -0.13, 0.87]	[-0.0, 0.0, 0.03]
22	[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0]	[0.05, -0.13, 0.92]	[0.05, -0.13, 0.89]	[-0.0, 0.0, 0.03]
23	[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0]	[0.04, -0.13, 0.94]	[0.05, -0.13, 0.91]	[-0.0, 0.0, 0.03]
24	[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0]	[0.04, -0.12, 0.96]	[0.05, -0.13, 0.94]	[-0.0, 0.0, 0.03]
25	[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0]	[0.04, -0.12, 0.98]	[0.04, -0.13, 0.96]	[-0.0, 0.0, 0.03]
26	[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0]	[0.04, -0.12, 1.01]	[0.04, -0.13, 0.98]	[-0.0, 0.0, 0.03]
27	[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0]	[0.04, -0.12, 1.03]	[0.04, -0.12, 1.0]	[-0.0, 0.0, 0.03]
28	[1.55, 5.27, 10.0, 0.0, 0.0, 0.0, 1.0]	[0.05, -0.11, 1.05]	[0.06, -0.11, 1.02]	[-0.0, 0.0, 0.03]
29	[1.41, 5.14, 0.0, 0.0, 0.0, 0.0, 1.0]	[0.07, -0.09, 1.05]	[0.08, -0.09, 1.03]	[-0.0, 0.0, 0.03]
30	[1.21, 4.95, 0.0, 0.0, 0.0, 0.0, 1.0]	[0.09, -0.07, 1.05]	[0.1, -0.07, 1.03]	[-0.0, 0.0, 0.03]
31	[0.99, 4.74, 0.0, 0.0, 0.0, 0.0, 1.0]	[0.12, -0.05, 1.05]	[0.12, -0.05, 1.03]	[-0.0, 0.0, 0.03]
32	[0.78, 4.51, 0.0, 0.0, 0.0, 0.0, 1.0]	[0.13, -0.02, 1.05]	[0.14, -0.02, 1.02]	[-0.0, 0.0, 0.03]
33	[0.59, 4.27, 0.0, 0.0, 0.0, 0.0, 1.0]	[0.15, 0.0, 1.05]	[0.15, -0.0, 1.03]	[0.0, 0.0, 0.03]
34	[0.44, 4.03, 0.0, 0.0, 0.0, 0.0, 1.0]	[0.16, 0.02, 1.05]	[0.16, 0.02, 1.03]	[0.0, 0.0, 0.03]
35	[0.33, 3.79, 0.0, 0.0, 0.0, 0.0, 1.0]	[0.17, 0.05, 1.05]	[0.17, 0.05, 1.03]	[0.0, 0.0, 0.03]
36	[0.24, 3.55, 0.0, 0.0, 0.0, 0.0, 1.0]	[0.18, 0.07, 1.05]	[0.18, 0.07, 1.03]	[0.0, 0.0, 0.03]
37	[0.17, 3.31, 0.0, 0.0, 0.0, 0.0, 1.0]	[0.18, 0.09, 1.05]	[0.19, 0.09, 1.03]	[0.0, 0.0, 0.03]
38	[0.12, 3.08, 0.0, 0.0, 0.0, 0.0, 1.0]	[0.18, 0.12, 1.05]	[0.19, 0.12, 1.03]	[0.0, 0.0, 0.03]
39	[0.09, 2.85, 0.0, 0.0, 0.0, 0.0, 1.0]	[0.19, 0.14, 1.05]	[0.19, 0.14, 1.03]	[0.0, 0.0, 0.03]
40	[0.07, 2.62, 0.0, 0.0, 0.0, 0.0, 1.0]	[0.19, 0.16, 1.05]	[0.19, 0.16, 1.03]	[0.0, 0.0, 0.03]
41	[0.06, 2.39, 0.0, 0.0, 0.0, 0.0, 1.0]	[0.19, 0.19, 1.05]	[0.19, 0.19, 1.03]	[0.0, 0.0, 0.03]
