step	subtask	stage
0	Move to above can	0
1	Move to above can	0
2	Move to above can	0
3	Move to above can	0
4	Move to above can	0
5	Move to above can	0
6	Move to above can	0
7	Move to above can	0
8	Move to above can	0
9	Move to above can	0
10	Move down to can	1
11	Move down to can	1
12	Move down to can	1
13	Move down to can	1
14	Move down to can	1
15	Move down to can	1
16	Move down to can	1
17	Move down to can	1
18	Move down to can	1
19	Move down to can	1
20	Grasp can	2
21	Grasp can	2
22	Pick up can	3
23	Pick up can	3
24	Pick up can	3
25	Pick up can	3
26	Pick up can	3
27	Pick up can	3
28	Pick up can	3
29	Move to goal position	4
30	Move to goal position	4
31	Move to goal position	4
32	Move to goal position	4
33	Move to goal position	4
34	Move to goal position	4
35	Move to goal position	4
36	Move to goal position	4
37	Move to goal position	4
38	Move to goal position	4
39	Move to goal position	4
40	Move to goal position	4
41	Move to goal position	4
42	Move to goal position	4
43	Move to goal position	4
44	Move to goal position	4
45	Move to goal position	4
46	Move to goal position	4
47	Move to goal position	4
48	Move to goal position	4
49	Move to goal position	4
50	Move to goal position	4
51	Move to goal position	4
52	Move to goal position	4
53	Move to goal position	4
54	Move to goal position	4
55	Move to goal position	4
56	Move to goal position	4
57	Move to goal position	4
58	Move to goal position	4
59	Move to goal position	4
60	Move to goal position	4
61	Move to goal position	4
62	Move to goal position	4
63	Move to goal position	4
64	Move to goal position	4
65	Move to goal position	4
66	Move to goal position	4
67	Move to goal position	4
68	Move to goal position	4
69	Move to goal position	4
70	Move to goal position	4
71	Move to goal position	4
72	Move to goal position	4
73	Move to goal position	4
74	Move to goal position	4
75	Move to goal position	4
76	Move to goal position	4
77	Move to goal position	4
78	Move to goal position	4
79	Move to goal position	4
80	Move to goal position	4
81	Move to goal position	4
82	Move to goal position	4
83	Move to goal position	4
84	Move to goal position	4
85	Move to goal position	4
86	Move to goal position	4
87	Move to goal position	4
88	Move to goal position	4
89	Move to goal position	4
90	Move to goal position	4
91	Move to goal position	4
92	Move to goal position	4
93	Move to goal position	4
94	Move to goal position	4
95	Move to goal position	4
96	Move to goal position	4
97	Move to goal position	4
98	Move to goal position	4
99	Move to goal position	4
100	Move to goal position	4
101	Move to goal position	4
102	Move to goal position	4
103	Move to goal position	4
104	Move to goal position	4
105	Move to goal position	4
106	Move to goal position	4
107	Move to goal position	4
108	Move to goal position	4
109	Move to goal position	4
110	Move to goal position	4
111	Move to goal position	4
112	Move to goal position	4
113	Move to goal position	4
114	Move to goal position	4
115	Move to goal position	4
116	Move to goal position	4
117	Move to goal position	4
118	Move to goal position	4
119	Move to goal position	4
