step	action	robot0_eef_pos	cubeA_pos	cubeB_pos	gripper_to_cubeA	gripper_to_cubeB	cubeA_to_cubeB
0	[1.68, -0.67, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.08, 0.01, 1.02]	[0.08, -0.05, 0.82]	[-0.05, -0.01, 0.82]	[0.15, -0.06, -0.2]	[0.03, -0.02, -0.19]	[-0.12, 0.04, 0.0]
1	[1.54, -0.58, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.06, -0.0, 1.01]	[0.08, -0.05, 0.82]	[-0.05, -0.01, 0.82]	[0.13, -0.05, -0.19]	[0.01, -0.01, -0.19]	[-0.12, 0.04, 0.0]
2	[1.34, -0.47, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.04, -0.01, 1.01]	[0.08, -0.05, 0.82]	[-0.05, -0.01, 0.82]	[0.11, -0.04, -0.19]	[-0.01, 0.0, -0.19]	[-0.12, 0.04, 0.0]
3	[1.13, -0.37, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.01, -0.02, 1.01]	[0.08, -0.05, 0.82]	[-0.05, -0.01, 0.82]	[0.09, -0.03, -0.19]	[-0.03, 0.01, -0.19]	[-0.12, 0.04, 0.0]
4	[0.92, -0.27, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.01, -0.03, 1.01]	[0.08, -0.05, 0.82]	[-0.05, -0.01, 0.82]	[0.07, -0.02, -0.19]	[-0.05, 0.02, -0.18]	[-0.12, 0.04, 0.0]
5	[0.71, -0.18, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.02, -0.04, 1.01]	[0.08, -0.05, 0.82]	[-0.05, -0.01, 0.82]	[0.05, -0.01, -0.19]	[-0.07, 0.03, -0.18]	[-0.12, 0.04, 0.0]
6	[0.54, -0.11, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.04, -0.04, 1.01]	[0.08, -0.05, 0.82]	[-0.05, -0.01, 0.82]	[0.04, -0.01, -0.19]	[-0.09, 0.03, -0.19]	[-0.12, 0.04, 0.0]
7	[0.39, -0.07, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.05, -0.05, 1.01]	[0.08, -0.05, 0.82]	[-0.05, -0.01, 0.82]	[0.03, -0.0, -0.19]	[-0.1, 0.03, -0.19]	[-0.12, 0.04, 0.01]
8	[0.27, -0.04, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.06, -0.05, 1.01]	[0.08, -0.05, 0.82]	[-0.05, -0.01, 0.82]	[0.02, -0.0, -0.19]	[-0.11, 0.04, -0.19]	[-0.12, 0.04, 0.01]
9	[0.19, -0.02, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.07, -0.05, 1.01]	[0.08, -0.05, 0.82]	[-0.05, -0.01, 0.82]	[0.01, -0.0, -0.2]	[-0.11, 0.04, -0.19]	[-0.12, 0.04, 0.01]
10	[0.12, -0.01, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.07, -0.05, 1.02]	[0.08, -0.05, 0.82]	[-0.05, -0.01, 0.82]	[0.01, -0.0, -0.2]	[-0.12, 0.04, -0.19]	[-0.12, 0.04, 0.01]
11	[0.08, -0.01, -1.96, 0.0, 0.0, 0.0, -1.0]	[0.07, -0.05, 1.0]	[0.08, -0.05, 0.82]	[-0.05, -0.01, 0.82]	[0.0, -0.0, -0.18]	[-0.12, 0.04, -0.18]	[-0.12, 0.04, 0.01]
12	[0.04, -0.01, -1.8, 0.0, 0.0, 0.0, -1.0]	[0.08, -0.05, 0.98]	[0.08, -0.05, 0.82]	[-0.05, -0.01, 0.82]	[0.0, -0.0, -0.16]	[-0.12, 0.04, -0.15]	[-0.12, 0.04, 0.01]
13	[0.02, -0.01, -1.57, 0.0, 0.0, 0.0, -1.0]	[0.08, -0.05, 0.95]	[0.08, -0.05, 0.82]	[-0.05, -0.01, 0.82]	[0.0, -0.0, -0.13]	[-0.12, 0.04, -0.13]	[-0.12, 0.04, 0.01]
14	[0.01, -0.01, -1.34, 0.0, 0.0, 0.0, -1.0]	[0.08, -0.05, 0.93]	[0.08, -0.05, 0.82]	[-0.05, -0.01, 0.82]	[0.0, -0.0, -0.11]	[-0.12, 0.04, -0.11]	[-0.12, 0.04, 0.01]
15	[0.01, -0.01, -1.11, 0.0, 0.0, 0.0, -1.0]	[0.08, -0.05, 0.91]	[0.08, -0.05, 0.82]	[-0.05, -0.01, 0.82]	[0.0, -0.0, -0.09]	[-0.12, 0.04, -0.08]	[-0.12, 0.04, 0.01]
16	[0.02, -0.01, -0.87, 0.0, 0.0, 0.0, -1.0]	[0.08, -0.05, 0.89]	[0.08, -0.05, 0.82]	[-0.05, -0.01, 0.82]	[0.0, -0.0, -0.07]	[-0.12, 0.04, -0.06]	[-0.12, 0.04, 0.01]
17	[0.02, -0.01, -0.66, 0.0, 0.0, 0.0, -1.0]	[0.07, -0.05, 0.87]	[0.08, -0.05, 0.82]	[-0.05, -0.01, 0.82]	[0.0, -0.0, -0.05]	[-0.12, 0.04, -0.04]	[-0.12, 0.04, 0.01]
18	[0.03, -0.01, -0.48, 0.0, 0.0, 0.0, -1.0]	[0.07, -0.05, 0.85]	[0.08, -0.05, 0.82]	[-0.05, -0.01, 0.82]	[0.0, -0.0, -0.04]	[-0.12, 0.04, -0.03]	[-0.12, 0.04, 0.01]
19	[0.04, -0.01, -0.35, 0.0, 0.0, 0.0, -1.0]	[0.07, -0.05, 0.85]	[0.08, -0.05, 0.82]	[-0.05, -0.01, 0.82]	[0.0, -0.0, -0.03]	[-0.12, 0.04, -0.02]	[-0.12, 0.04, 0.01]
20	[0.04, -0.0, -0.26, 0.0, 0.0, 0.0, -1.0]	[0.07, -0.05, 0.84]	[0.08, -0.05, 0.82]	[-0.05, -0.01, 0.82]	[0.0, 0.0, -0.02]	[-0.12, 0.04, -0.01]	[-0.12, 0.04, 0.01]
21	[0.03, 0.0, -0.19, 0.0, 0.0, 0.0, -1.0]	[0.07, -0.05, 0.83]	[0.08, -0.05, 0.82]	[-0.05, -0.01, 0.82]	[0.0, 0.0, -0.01]	[-0.12, 0.04, -0.01]	[-0.12, 0.04, 0.01]
22	[0.03, 0.0, -0.14, 0.0, 0.0, 0.0, -1.0]	[0.08, -0.05, 0.83]	[0.08, -0.05, 0.82]	[-0.05, -0.01, 0.82]	[0.0, 0.0, -0.01]	[-0.12, 0.04, -0.01]	[-0.12, 0.04, 0.01]
23	[0.02, 0.01, -0.1, 0.0, 0.0, 0.0, -1.0]	[0.08, -0.05, 0.83]	[0.08, -0.05, 0.82]	[-0.05, -0.01, 0.82]	[0.0, 0.0, -0.01]	[-0.12, 0.04, -0.0]	[-0.12, 0.04, 0.01]
24	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]	[0.08, -0.05, 0.83]	[0.08, -0.05, 0.82]	[-0.05, -0.01, 0.82]	[0.0, 0.0, -0.01]	[-0.12, 0.04, -0.0]	[-0.12, 0.04, 0.01]
25	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]	[0.08, -0.05, 0.83]	[0.08, -0.05, 0.82]	[-0.05, -0.01, 0.82]	[0.0, 0.0, -0.01]	[-0.12, 0.04, -0.0]	[-0.12, 0.04, 0.01]
26	[0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 1.0]	[0.08, -0.05, 0.83]	[0.08, -0.05, 0.82]	[-0.05, -0.01, 0.82]	[0.0, 0.0, -0.01]	[-0.12, 0.04, -0.01]	[-0.12, 0.04, 0.0]
27	[0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 1.0]	[0.08, -0.05, 0.84]	[0.08, -0.05, 0.83]	[-0.05, -0.01, 0.82]	[0.0, 0.0, -0.01]	[-0.12, 0.04, -0.01]	[-0.12, 0.04, -0.0]
