step	action	robot0_eef_pos	tool_pos	frame_pos	stand_pos
0	[0.0, 0.0, 0.0, 0.01, 0.18, 0.04, -1.0]	[-0.09, -0.03, 1.03]	[0.04, -0.21, 0.84]	[-0.03, -0.25, 0.84]	[-0.08, 0.0, 0.88]
1	[-0.2, -0.71, -0.58, 0.01, 0.16, 0.04, -1.0]	[-0.09, -0.03, 1.02]	[0.04, -0.21, 0.83]	[-0.03, -0.25, 0.83]	[-0.08, 0.0, 0.88]
2	[-0.09, -0.21, -0.36, 0.01, 0.12, 0.06, -1.0]	[-0.09, -0.03, 1.02]	[0.04, -0.21, 0.81]	[-0.03, -0.25, 0.81]	[-0.08, 0.0, 0.88]
3	[-0.24, -1.0, -0.12, 0.0, 0.12, 0.07, -1.0]	[-0.1, -0.03, 1.01]	[0.04, -0.21, 0.81]	[-0.03, -0.25, 0.81]	[-0.08, 0.0, 0.88]
4	[-0.1, -0.46, -0.03, -0.01, 0.11, 0.1, -1.0]	[-0.1, -0.04, 1.01]	[0.04, -0.21, 0.81]	[-0.03, -0.25, 0.81]	[-0.08, 0.0, 0.88]
5	[-0.14, -1.0, -0.04, -0.02, 0.1, 0.12, -1.0]	[-0.1, -0.04, 1.01]	[0.04, -0.21, 0.81]	[-0.03, -0.25, 0.81]	[-0.08, 0.0, 0.88]
6	[0.04, -0.71, 0.02, -0.03, 0.11, 0.15, -1.0]	[-0.1, -0.05, 1.01]	[0.04, -0.21, 0.81]	[-0.03, -0.25, 0.81]	[-0.08, 0.0, 0.88]
7	[-0.11, -1.0, -0.08, -0.04, 0.12, 0.19, -1.0]	[-0.11, -0.06, 1.0]	[0.04, -0.21, 0.81]	[-0.03, -0.25, 0.81]	[-0.08, 0.0, 0.88]
8	[0.26, -0.84, -0.17, -0.1, 0.12, 0.35, -1.0]	[-0.11, -0.07, 1.0]	[0.04, -0.21, 0.81]	[-0.03, -0.25, 0.81]	[-0.08, 0.0, 0.88]
9	[0.2, -0.93, -0.21, -0.1, 0.13, 0.38, -1.0]	[-0.11, -0.09, 1.0]	[0.04, -0.21, 0.81]	[-0.03, -0.25, 0.81]	[-0.08, 0.0, 0.88]
10	[0.27, -0.77, -0.18, -0.1, 0.14, 0.4, -1.0]	[-0.11, -0.1, 1.0]	[0.04, -0.21, 0.81]	[-0.03, -0.25, 0.81]	[-0.08, 0.0, 0.88]
11	[-0.01, -0.82, -0.35, -0.09, 0.14, 0.42, -1.0]	[-0.1, -0.11, 1.0]	[0.04, -0.21, 0.81]	[-0.03, -0.25, 0.81]	[-0.08, 0.0, 0.88]
12	[0.36, -0.78, -0.33, -0.08, 0.14, 0.45, -1.0]	[-0.1, -0.12, 0.99]	[0.04, -0.21, 0.81]	[-0.03, -0.25, 0.81]	[-0.08, 0.0, 0.88]
13	[0.08, -0.69, -0.5, -0.06, 0.13, 0.49, -1.0]	[-0.1, -0.13, 0.99]	[0.04, -0.21, 0.81]	[-0.03, -0.25, 0.81]	[-0.08, 0.0, 0.88]
14	[0.56, -0.66, -0.34, -0.06, 0.12, 0.52, -1.0]	[-0.1, -0.14, 0.98]	[0.04, -0.21, 0.81]	[-0.03, -0.25, 0.81]	[-0.08, 0.0, 0.88]
15	[0.26, -0.79, -0.52, -0.05, 0.11, 0.55, -1.0]	[-0.09, -0.15, 0.98]	[0.04, -0.21, 0.81]	[-0.03, -0.25, 0.81]	[-0.08, 0.0, 0.88]
16	[0.52, -0.46, -0.4, -0.05, 0.1, 0.56, -1.0]	[-0.09, -0.16, 0.97]	[0.04, -0.21, 0.81]	[-0.03, -0.25, 0.81]	[-0.08, 0.0, 0.88]
17	[0.27, -0.85, -0.59, -0.04, 0.09, 0.58, -1.0]	[-0.08, -0.16, 0.96]	[0.04, -0.21, 0.81]	[-0.03, -0.25, 0.81]	[-0.08, 0.0, 0.88]
18	[0.43, -0.38, -0.34, -0.02, 0.09, 0.57, -1.0]	[-0.08, -0.17, 0.96]	[0.04, -0.21, 0.81]	[-0.03, -0.25, 0.81]	[-0.08, 0.0, 0.88]
19	[0.23, -0.61, -0.43, -0.02, 0.09, 0.57, -1.0]	[-0.07, -0.18, 0.95]	[0.04, -0.21, 0.81]	[-0.03, -0.25, 0.81]	[-0.08, 0.0, 0.88]
20	[0.46, -0.3, -0.29, -0.02, 0.08, 0.58, -1.0]	[-0.07, -0.19, 0.95]	[0.04, -0.21, 0.81]	[-0.03, -0.25, 0.81]	[-0.08, 0.0, 0.88]
