step	action	robot0_eef_pos	cube_pos	gripper_to_cube_pos
0	[1.02, -0.18, -1.89, 0.0, 0.0, 0.0, -1.0]	[-0.08, 0.02, 1.0]	[0.01, 0.0, 0.82]	[-0.09, 0.02, 0.18]
1	[0.86, -0.16, -1.84, 0.0, 0.0, 0.0, -1.0]	[-0.06, 0.01, 0.98]	[0.01, 0.0, 0.82]	[-0.07, 0.01, 0.16]
2	[0.66, -0.13, -1.57, 0.0, 0.0, 0.0, -1.0]	[-0.04, 0.01, 0.95]	[0.01, 0.0, 0.82]	[-0.05, 0.01, 0.13]
3	[0.51, -0.11, -1.32, 0.0, 0.0, 0.0, -1.0]	[-0.03, 0.01, 0.93]	[0.01, 0.0, 0.82]	[-0.04, 0.01, 0.11]
4	[0.39, -0.08, -1.08, 0.0, 0.0, 0.0, -1.0]	[-0.02, 0.01, 0.91]	[0.01, 0.0, 0.82]	[-0.03, 0.01, 0.08]
5	[0.29, -0.06, -0.84, 0.0, 0.0, 0.0, -1.0]	[-0.02, 0.0, 0.88]	[0.01, 0.0, 0.82]	[-0.02, 0.0, 0.06]
6	[0.22, -0.04, -0.63, 0.0, 0.0, 0.0, -1.0]	[-0.01, 0.0, 0.87]	[0.01, 0.0, 0.82]	[-0.02, 0.0, 0.05]
7	[0.18, -0.03, -0.47, 0.0, 0.0, 0.0, -1.0]	[-0.01, 0.0, 0.86]	[0.01, 0.0, 0.82]	[-0.01, 0.0, 0.03]
8	[0.14, -0.02, -0.34, 0.0, 0.0, 0.0, -1.0]	[-0.0, 0.0, 0.85]	[0.01, 0.0, 0.82]	[-0.01, 0.0, 0.03]
9	[0.11, -0.01, -0.25, 0.0, 0.0, 0.0, -1.0]	[-0.0, 0.0, 0.84]	[0.01, 0.0, 0.82]	[-0.01, 0.0, 0.02]
10	[0.09, -0.0, -0.18, 0.0, 0.0, 0.0, -1.0]	[-0.0, -0.0, 0.84]	[0.01, 0.0, 0.82]	[-0.01, -0.0, 0.01]
