step	action	robot0_eef_pos	cubeA_pos	cubeB_pos	gripper_to_cubeA	gripper_to_cubeB	cubeA_to_cubeB
0	[0.37, -0.44, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.11, -0.0, 1.0]	[-0.08, -0.04, 0.82]	[0.01, 0.0, 0.82]	[0.03, -0.04, -0.18]	[0.12, 0.0, -0.18]	[0.09, 0.04, 0.0]
1	[0.32, -0.38, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.1, -0.01, 1.0]	[-0.08, -0.04, 0.82]	[0.01, 0.0, 0.82]	[0.03, -0.03, -0.18]	[0.12, 0.01, -0.17]	[0.09, 0.04, 0.0]
2	[0.26, -0.3, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.1, -0.01, 1.0]	[-0.08, -0.04, 0.82]	[0.01, 0.0, 0.82]	[0.02, -0.02, -0.18]	[0.11, 0.02, -0.17]	[0.09, 0.04, 0.0]
3	[0.2, -0.24, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.09, -0.02, 1.0]	[-0.08, -0.04, 0.82]	[0.01, 0.0, 0.82]	[0.02, -0.02, -0.18]	[0.11, 0.02, -0.17]	[0.09, 0.04, 0.0]
4	[0.15, -0.17, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.09, -0.03, 1.0]	[-0.08, -0.04, 0.82]	[0.01, 0.0, 0.82]	[0.01, -0.01, -0.18]	[0.1, 0.03, -0.17]	[0.09, 0.04, 0.0]
5	[0.11, -0.12, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.09, -0.03, 1.0]	[-0.08, -0.04, 0.82]	[0.01, 0.0, 0.82]	[0.01, -0.01, -0.18]	[0.1, 0.03, -0.17]	[0.09, 0.04, 0.0]
6	[0.08, -0.08, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.08, -0.03, 1.0]	[-0.08, -0.04, 0.82]	[0.01, 0.0, 0.82]	[0.01, -0.01, -0.18]	[0.1, 0.04, -0.17]	[0.09, 0.04, 0.0]
7	[0.06, -0.06, -1.79, 0.0, 0.0, 0.0, -1.0]	[-0.08, -0.03, 0.98]	[-0.08, -0.04, 0.82]	[0.01, 0.0, 0.82]	[0.0, -0.0, -0.16]	[0.09, 0.04, -0.16]	[0.09, 0.04, 0.0]
8	[0.03, -0.04, -1.63, 0.0, 0.0, 0.0, -1.0]	[-0.08, -0.03, 0.96]	[-0.08, -0.04, 0.82]	[0.01, 0.0, 0.82]	[-0.0, -0.0, -0.14]	[0.09, 0.04, -0.14]	[0.09, 0.04, 0.0]
9	[-0.01, -0.04, -1.41, 0.0, 0.0, 0.0, -1.0]	[-0.08, -0.03, 0.94]	[-0.08, -0.04, 0.82]	[0.01, 0.0, 0.82]	[-0.0, -0.0, -0.12]	[0.09, 0.04, -0.11]	[0.09, 0.04, 0.0]
10	[-0.02, -0.04, -1.18, 0.0, 0.0, 0.0, -1.0]	[-0.08, -0.03, 0.91]	[-0.08, -0.04, 0.82]	[0.01, 0.0, 0.82]	[-0.0, -0.0, -0.1]	[0.09, 0.04, -0.09]	[0.09, 0.04, 0.0]
11	[-0.02, -0.04, -0.95, 0.0, 0.0, 0.0, -1.0]	[-0.08, -0.03, 0.89]	[-0.08, -0.04, 0.82]	[0.01, 0.0, 0.82]	[-0.0, -0.0, -0.07]	[0.09, 0.04, -0.07]	[0.09, 0.04, 0.0]
12	[-0.01, -0.04, -0.72, 0.0, 0.0, 0.0, -1.0]	[-0.08, -0.04, 0.87]	[-0.08, -0.04, 0.82]	[0.01, 0.0, 0.82]	[0.0, -0.0, -0.05]	[0.09, 0.04, -0.05]	[0.09, 0.04, 0.0]
13	[0.01, -0.03, -0.53, 0.0, 0.0, 0.0, -1.0]	[-0.08, -0.04, 0.86]	[-0.08, -0.04, 0.82]	[0.01, 0.0, 0.82]	[0.0, -0.0, -0.04]	[0.09, 0.04, -0.03]	[0.09, 0.04, 0.0]
14	[0.03, -0.02, -0.39, 0.0, 0.0, 0.0, -1.0]	[-0.08, -0.04, 0.85]	[-0.08, -0.04, 0.82]	[0.01, 0.0, 0.82]	[0.01, -0.0, -0.03]	[0.1, 0.04, -0.02]	[0.09, 0.04, 0.0]
15	[0.05, -0.01, -0.28, 0.0, 0.0, 0.0, -1.0]	[-0.08, -0.04, 0.84]	[-0.08, -0.04, 0.82]	[0.01, 0.0, 0.82]	[0.01, 0.0, -0.02]	[0.1, 0.04, -0.01]	[0.09, 0.04, 0.0]
16	[0.06, 0.01, -0.19, 0.0, 0.0, 0.0, -1.0]	[-0.09, -0.04, 0.83]	[-0.08, -0.04, 0.82]	[0.01, 0.0, 0.82]	[0.01, 0.0, -0.01]	[0.1, 0.04, -0.01]	[0.09, 0.04, 0.0]
17	[0.07, 0.02, -0.13, 0.0, 0.0, 0.0, -1.0]	[-0.08, -0.04, 0.83]	[-0.08, -0.04, 0.82]	[0.01, 0.0, 0.82]	[0.01, 0.0, -0.01]	[0.1, 0.04, -0.0]	[0.09, 0.04, 0.0]
18	[0.07, 0.03, -0.09, 0.0, 0.0, 0.0, -1.0]	[-0.08, -0.04, 0.83]	[-0.08, -0.04, 0.82]	[0.01, 0.0, 0.82]	[0.01, 0.0, -0.01]	[0.1, 0.05, -0.0]	[0.09, 0.04, 0.01]
19	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]	[-0.08, -0.04, 0.83]	[-0.08, -0.04, 0.82]	[0.01, 0.0, 0.82]	[0.01, 0.0, -0.01]	[0.1, 0.05, -0.0]	[0.09, 0.04, 0.01]
20	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]	[-0.08, -0.04, 0.83]	[-0.08, -0.04, 0.82]	[0.01, 0.0, 0.82]	[0.01, 0.0, -0.01]	[0.1, 0.05, -0.0]	[0.09, 0.04, 0.01]
