step	robot0_action	robot0_eef_pos
0	[0.0, 0.0, 0.0, 0.0, 0.11, 0.08, -1.0]	[-0.11, -0.03, 1.01]
1	[-0.06, -0.52, -0.15, -0.0, 0.1, 0.06, -1.0]	[-0.11, -0.03, 1.01]
2	[-0.09, -0.3, -0.26, -0.01, 0.09, 0.07, -1.0]	[-0.11, -0.03, 1.01]
3	[-0.0, -0.72, -0.24, -0.01, 0.08, 0.08, -1.0]	[-0.11, -0.03, 1.01]
4	[-0.01, -0.85, -0.3, -0.01, 0.07, 0.1, -1.0]	[-0.11, -0.04, 1.0]
5	[-0.07, -0.47, -0.36, -0.01, 0.06, 0.11, -1.0]	[-0.11, -0.04, 1.0]
6	[-0.05, -0.52, -0.36, -0.02, 0.06, 0.12, -1.0]	[-0.11, -0.05, 0.99]
7	[-0.02, -0.94, -0.21, -0.03, 0.06, 0.14, -1.0]	[-0.11, -0.06, 0.99]
8	[0.1, -0.76, -0.4, -0.05, 0.06, 0.17, -1.0]	[-0.11, -0.07, 0.99]
9	[0.11, -0.82, -0.23, -0.07, 0.06, 0.19, -1.0]	[-0.11, -0.08, 0.98]
10	[0.18, -0.73, -0.44, -0.08, 0.07, 0.22, -1.0]	[-0.11, -0.09, 0.98]
11	[0.06, -0.93, -0.37, -0.08, 0.08, 0.25, -1.0]	[-0.11, -0.1, 0.97]
12	[0.16, -0.61, -0.48, -0.1, 0.08, 0.28, -1.0]	[-0.11, -0.11, 0.97]
13	[-0.14, -0.68, -0.37, -0.09, 0.07, 0.3, -1.0]	[-0.11, -0.12, 0.96]
14	[-0.01, -0.39, -0.6, -0.07, 0.06, 0.32, -1.0]	[-0.11, -0.13, 0.96]
15	[-0.12, -0.48, -0.4, -0.08, 0.06, 0.35, -1.0]	[-0.11, -0.14, 0.95]
16	[0.08, -0.28, -0.29, -0.07, 0.07, 0.37, -1.0]	[-0.11, -0.14, 0.94]
17	[0.06, -0.67, -0.5, -0.06, 0.07, 0.41, -1.0]	[-0.11, -0.15, 0.94]
18	[0.18, -0.28, -0.54, -0.03, 0.08, 0.42, -1.0]	[-0.11, -0.16, 0.93]
19	[-0.09, -0.58, -0.36, -0.02, 0.09, 0.44, -1.0]	[-0.11, -0.16, 0.93]
20	[0.1, -0.18, -0.56, -0.0, 0.08, 0.44, -1.0]	[-0.11, -0.17, 0.92]
21	[-0.39, -0.44, -0.26, 0.01, 0.08, 0.42, -1.0]	[-0.11, -0.17, 0.91]
22	[-0.07, -0.07, -0.26, 0.01, 0.08, 0.41, -1.0]	[-0.11, -0.17, 0.91]
23	[-0.51, -0.68, -0.11, 0.01, 0.09, 0.4, -1.0]	[-0.11, -0.18, 0.91]
24	[-0.03, -0.03, 0.04, -0.01, 0.09, 0.4, -1.0]	[-0.11, -0.18, 0.9]
25	[-0.14, -0.52, 0.1, -0.02, 0.1, 0.4, -1.0]	[-0.12, -0.18, 0.9]
26	[0.26, -0.02, 0.11, -0.02, 0.11, 0.4, -1.0]	[-0.12, -0.19, 0.9]
27	[0.06, -0.42, -0.06, -0.02, 0.12, 0.39, -1.0]	[-0.12, -0.19, 0.9]
28	[0.25, 0.04, -0.01, -0.02, 0.12, 0.38, -1.0]	[-0.12, -0.2, 0.9]
29	[-0.0, -0.32, -0.16, -0.02, 0.11, 0.36, -1.0]	[-0.12, -0.2, 0.9]
30	[-0.0, 0.09, -0.1, -0.01, 0.1, 0.33, -1.0]	[-0.12, -0.2, 0.9]
31	[-0.25, -0.43, -0.27, -0.01, 0.09, 0.29, -1.0]	[-0.12, -0.21, 0.9]
32	[-0.01, 0.03, -0.22, -0.0, 0.07, 0.26, -1.0]	[-0.12, -0.21, 0.9]
33	[-0.06, -0.21, -0.25, 0.01, 0.06, 0.24, -1.0]	[-0.12, -0.21, 0.9]
34	[0.18, 0.02, -0.24, 0.01, 0.04, 0.22, -1.0]	[-0.12, -0.21, 0.89]
