step	subtask	stage
0	Move to cube	0
1	Move to cube	0
2	Move to cube	0
3	Move to cube	0
4	Move to cube	0
5	Move to cube	0
6	Move to cube	0
7	Move to cube	0
8	Move to cube	0
9	Move to cube	0
10	Move to cube	0
11	Move to cube	0
12	Move to cube	0
13	Grasp Cube	1
14	Grasp Cube	1
15	Lift Cube	2
16	Lift Cube	2
17	Lift Cube	2
18	Lift Cube	2
19	Lift Cube	2
20	Lift Cube	2
21	Lift Cube	2
22	Lift Cube	2
23	Lift Cube	2
24	Lift Cube	2
25	Lift Cube	2
26	Lift Cube	2
27	Lift Cube	2
28	Lift Cube	2
29	Lift Cube	2
30	Lift Cube	2
31	Lift Cube	2
32	Lift Cube	2
33	Lift Cube	2
34	Lift Cube	2
35	Lift Cube	2
36	Lift Cube	2
37	Lift Cube	2
38	Lift Cube	2
39	Lift Cube	2
