step	action	robot0_eef_pos	Can_pos	Can_to_robot0_eef_pos
0	[0.92, -0.27, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.02, -0.09, 1.02]	[0.05, -0.12, 0.86]	[0.05, 0.02, 0.17]
1	[0.79, -0.23, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.01, -0.1, 1.02]	[0.05, -0.12, 0.86]	[0.04, 0.02, 0.17]
2	[0.62, -0.19, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.01, -0.1, 1.02]	[0.05, -0.12, 0.86]	[0.02, 0.01, 0.16]
3	[0.48, -0.15, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.02, -0.1, 1.02]	[0.05, -0.12, 0.86]	[0.01, 0.01, 0.16]
4	[0.36, -0.11, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.03, -0.11, 1.02]	[0.05, -0.12, 0.86]	[0.0, 0.01, 0.16]
5	[0.26, -0.08, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.04, -0.11, 1.02]	[0.05, -0.12, 0.86]	[-0.0, 0.01, 0.16]
6	[0.19, -0.05, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.04, -0.11, 1.02]	[0.05, -0.12, 0.86]	[-0.01, 0.0, 0.16]
7	[0.13, -0.03, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.05, -0.11, 1.02]	[0.05, -0.12, 0.86]	[-0.01, 0.0, 0.16]
8	[0.09, -0.02, -1.45, 0.0, 0.0, 0.0, -1.0]	[0.05, -0.11, 1.0]	[0.05, -0.12, 0.86]	[-0.01, 0.0, 0.14]
9	[0.04, -0.02, -1.29, 0.0, 0.0, 0.0, -1.0]	[0.05, -0.11, 0.98]	[0.05, -0.12, 0.86]	[-0.01, 0.0, 0.12]
10	[0.01, -0.02, -1.06, 0.0, 0.0, 0.0, -1.0]	[0.05, -0.11, 0.96]	[0.05, -0.12, 0.86]	[-0.01, 0.0, 0.1]
11	[0.0, -0.02, -0.84, 0.0, 0.0, 0.0, -1.0]	[0.05, -0.11, 0.94]	[0.05, -0.12, 0.86]	[-0.01, 0.0, 0.08]
12	[0.0, -0.02, -0.63, 0.0, 0.0, 0.0, -1.0]	[0.05, -0.11, 0.92]	[0.05, -0.12, 0.86]	[-0.01, 0.0, 0.06]
13	[0.01, -0.02, -0.47, 0.0, 0.0, 0.0, -1.0]	[0.05, -0.11, 0.91]	[0.05, -0.12, 0.86]	[-0.0, 0.0, 0.05]
14	[0.03, -0.01, -0.34, 0.0, 0.0, 0.0, -1.0]	[0.05, -0.11, 0.9]	[0.05, -0.12, 0.86]	[-0.0, 0.0, 0.04]
15	[0.03, -0.01, -0.24, 0.0, 0.0, 0.0, -1.0]	[0.05, -0.12, 0.89]	[0.05, -0.12, 0.86]	[-0.0, 0.0, 0.03]
16	[0.04, -0.01, -0.17, 0.0, 0.0, 0.0, -1.0]	[0.05, -0.12, 0.89]	[0.05, -0.12, 0.86]	[-0.0, 0.0, 0.03]
17	[0.04, -0.0, -0.12, 0.0, 0.0, 0.0, -1.0]	[0.05, -0.12, 0.88]	[0.05, -0.12, 0.86]	[0.0, 0.0, 0.02]
18	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]	[0.05, -0.12, 0.88]	[0.05, -0.12, 0.86]	[0.0, -0.0, 0.02]
19	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]	[0.05, -0.12, 0.88]	[0.05, -0.12, 0.86]	[0.0, -0.0, 0.02]
20	[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0]	[0.05, -0.12, 0.9]	[0.05, -0.12, 0.87]	[0.0, -0.0, 0.03]
21	[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0]	[0.04, -0.12, 0.92]	[0.05, -0.12, 0.89]	[0.0, 0.0, 0.03]
22	[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0]	[0.04, -0.12, 0.94]	[0.05, -0.12, 0.91]	[0.0, 0.0, 0.03]
23	[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0]	[0.04, -0.12, 0.96]	[0.05, -0.12, 0.94]	[0.0, 0.0, 0.03]
