step	subtask	stage
0	Move to above Cube A	0
1	Move to above Cube A	0
2	Move to above Cube A	0
3	Move to above Cube A	0
4	Move to above Cube A	0
5	Move to above Cube A	0
6	Move to above Cube A	0
7	Move to above Cube A	0
8	Move directly down to Cube A	1
9	Move directly down to Cube A	1
10	Move directly down to Cube A	1
11	Move directly down to Cube A	1
12	Move directly down to Cube A	1
13	Move directly down to Cube A	1
14	Move directly down to Cube A	1
15	Move directly down to Cube A	1
16	Move directly down to Cube A	1
17	Move directly down to Cube A	1
18	Move directly down to Cube A	1
19	Move directly down to Cube A	1
20	Grasp Cube A	2
21	Grasp Cube A	2
22	Vertically pick up Cube A	3
23	Vertically pick up Cube A	3
24	Vertically pick up Cube A	3
25	Vertically pick up Cube A	3
26	Vertically pick up Cube A	3
27	Vertically pick up Cube A	3
28	Vertically pick up Cube A	3
29	Vertically pick up Cube A	3
30	Vertically pick up Cube A	3
31	Vertically pick up Cube A	3
32	Vertically pick up Cube A	3
33	Vertically pick up Cube A	3
34	Vertically pick up Cube A	3
35	Vertically pick up Cube A	3
36	Align Cube A with Cube B	4
37	Align Cube A with Cube B	4
38	Align Cube A with Cube B	4
39	Align Cube A with Cube B	4
40	Align Cube A with Cube B	4
41	Align Cube A with Cube B	4
42	Align Cube A with Cube B	4
43	Align Cube A with Cube B	4
44	Move Cube A vertically down to Cube B	5
45	Move Cube A vertically down to Cube B	5
46	Move Cube A vertically down to Cube B	5
47	Move Cube A vertically down to Cube B	5
48	Move Cube A vertically down to Cube B	5
49	Move Cube A vertically down to Cube B	5
50	Release Cube A onto Cube B	6
51	Release Cube A onto Cube B	6
52	Release Cube A onto Cube B	6
53	Release Cube A onto Cube B	6
54	Return Home	7
55	Return Home	7
56	Return Home	7
57	Return Home	7
58	Return Home	7
59	Return Home	7
60	Return Home	7
61	Return Home	7
62	Return Home	7
63	Return Home	7
64	Return Home	7
65	Return Home	7
66	Return Home	7
67	Return Home	7
68	Return Home	7
69	Return Home	7
70	Return Home	7
71	Return Home	7
72	Return Home	7
73	Return Home	7
74	Return Home	7
75	Return Home	7
76	Return Home	7
77	Return Home	7
78	Return Home	7
79	Return Home	7
