step	robot0_action	robot1_action	robot0_eef_pos	robot1_eef_pos
0	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.0]	[0.01, -0.0, -0.0, 0.13, 0.01, -0.0, -1.0]	[0.0, -0.37, 1.0]	[0.02, 0.35, 1.01]
1	[0.05, -0.15, -0.19, -0.01, 0.0, -0.01, -1.0]	[0.03, 0.0, 0.01, 0.13, 0.01, 0.0, -1.0]	[0.0, -0.37, 1.0]	[0.01, 0.35, 1.01]
2	[0.05, -0.19, -0.21, -0.01, 0.0, -0.01, -1.0]	[-0.1, -0.04, 0.04, 0.11, 0.01, -0.0, -1.0]	[0.0, -0.37, 1.0]	[0.01, 0.36, 1.01]
3	[0.01, -0.1, -0.04, -0.0, 0.0, -0.01, -1.0]	[-0.01, -0.03, 0.01, 0.1, 0.01, -0.0, -1.0]	[0.0, -0.37, 1.0]	[0.01, 0.36, 1.01]
4	[-0.01, -0.01, 0.07, -0.0, 0.0, -0.01, -1.0]	[-0.0, -0.02, 0.06, 0.09, 0.01, -0.0, -1.0]	[0.0, -0.37, 0.99]	[0.01, 0.36, 1.01]
5	[-0.02, 0.06, 0.07, -0.0, 0.0, -0.01, -1.0]	[0.01, -0.01, 0.04, 0.07, 0.0, -0.0, -1.0]	[0.0, -0.37, 0.99]	[0.01, 0.36, 1.01]
6	[-0.01, 0.08, 0.01, -0.0, 0.0, -0.01, -1.0]	[-0.02, -0.02, 0.03, 0.06, 0.0, -0.0, -1.0]	[0.0, -0.37, 1.0]	[0.01, 0.36, 1.01]
7	[-0.01, 0.05, -0.01, -0.0, 0.0, -0.01, -1.0]	[-0.02, -0.0, 0.01, 0.05, 0.0, -0.0, -1.0]	[0.0, -0.37, 1.0]	[0.01, 0.36, 1.01]
8	[-0.0, -0.0, -0.0, -0.0, 0.0, -0.01, -1.0]	[0.01, 0.01, -0.01, 0.05, 0.0, -0.0, -1.0]	[0.0, -0.37, 1.0]	[0.01, 0.36, 1.01]
9	[-0.0, -0.03, 0.01, -0.0, 0.0, -0.01, -1.0]	[0.03, 0.02, 0.01, 0.04, 0.0, -0.0, -1.0]	[0.0, -0.37, 1.0]	[0.01, 0.36, 1.01]
10	[-0.0, -0.02, 0.01, -0.0, 0.0, -0.01, -1.0]	[-0.01, -0.01, 0.02, 0.03, 0.0, -0.0, -1.0]	[0.0, -0.37, 1.0]	[0.01, 0.36, 1.01]
